No.,Time,Source,Destination,Protocol,Length,Info
1,0,162.159.136.234,192.168.59.232,TLSv1.2,265,Application Data
2,0.053407,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=212 Win=3575 Len=0
3,0.058065,162.159.136.234,192.168.59.232,TCP,265,"[TCP Spurious Retransmission] 443  >  2247 [PSH, ACK] Seq=1 Ack=1 Win=8 Len=211"
4,0.058094,192.168.59.232,162.159.136.234,TCP,66,[TCP Dup ACK 2#1] 2247  >  443 [ACK] Seq=1 Ack=212 Win=3575 Len=0 SLE=1 SRE=212
5,0.058166,162.159.136.234,192.168.59.232,TLSv1.2,331,Application Data
6,0.101373,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=489 Win=3574 Len=0
7,0.641599,192.168.59.232,192.168.59.222,DNS,89,Standard query 0xe76f A v10.events.data.microsoft.com
8,0.644134,192.168.59.232,192.168.59.222,DNS,89,Standard query 0x0f33 AAAA v10.events.data.microsoft.com
9,0.894603,162.159.136.234,192.168.59.232,TLSv1.2,406,Application Data
10,0.900565,192.168.59.222,192.168.59.232,DNS,216,Standard query response 0xe76f A v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprdeus06.eastus.cloudapp.azure.com A 20.42.73.25
11,0.910412,192.168.59.222,192.168.59.232,DNS,261,Standard query response 0x0f33 AAAA v10.events.data.microsoft.com CNAME global.asimov.events.data.trafficmanager.net CNAME onedscolprduks04.uksouth.cloudapp.azure.com SOA ns1-01.azure-dns.com
12,0.911255,192.168.59.232,20.42.73.25,TCP,66,1050  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1
13,0.937165,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=841 Win=3573 Len=0
14,1.161229,20.42.73.25,192.168.59.232,TCP,66,"443  >  1050 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
15,1.161485,192.168.59.232,20.42.73.25,TCP,54,1050  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0
16,1.162031,192.168.59.232,20.42.73.25,TLSv1.2,268,Client Hello
17,1.348451,192.168.59.232,23.207.140.125,TCP,54,"2262  >  443 [FIN, ACK] Seq=1 Ack=1 Win=257 Len=0"
18,1.432998,23.207.140.125,192.168.59.232,TLSv1.2,85,Encrypted Alert
19,1.432998,23.207.140.125,192.168.59.232,TCP,54,"443  >  2262 [FIN, ACK] Seq=32 Ack=2 Win=501 Len=0"
20,1.433118,192.168.59.232,23.207.140.125,TCP,54,"2262  >  443 [RST, ACK] Seq=2 Ack=32 Win=0 Len=0"
21,1.472224,162.159.136.234,192.168.59.232,TLSv1.2,181,Application Data
22,1.506909,162.159.136.234,192.168.59.232,TLSv1.2,292,Application Data
23,1.507014,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=1206 Win=3571 Len=0
24,1.615147,20.42.73.25,192.168.59.232,TCP,1454,443  >  1050 [ACK] Seq=1 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]
25,1.616349,20.42.73.25,192.168.59.232,TCP,1454,443  >  1050 [ACK] Seq=1401 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]
26,1.616445,192.168.59.232,20.42.73.25,TCP,54,1050  >  443 [ACK] Seq=215 Ack=2801 Win=65792 Len=0
27,1.616658,20.42.73.25,192.168.59.232,TCP,1454,443  >  1050 [ACK] Seq=2801 Ack=215 Win=524544 Len=1400 [TCP segment of a reassembled PDU]
28,1.617193,20.42.73.25,192.168.59.232,TLSv1.2,256,"Server Hello, Certificate, Server Key Exchange, Server Hello Done"
29,1.61727,192.168.59.232,20.42.73.25,TCP,54,1050  >  443 [ACK] Seq=215 Ack=4403 Win=65792 Len=0
30,1.621869,192.168.59.232,20.42.73.25,TLSv1.2,212,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
31,1.709545,162.159.136.234,192.168.59.232,TLSv1.2,485,Application Data
32,1.760073,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=1637 Win=3576 Len=0
33,1.861257,20.42.73.25,192.168.59.232,TLSv1.2,105,"Change Cipher Spec, Encrypted Handshake Message"
34,1.86408,192.168.59.232,20.42.73.25,TLSv1.2,1024,Application Data
35,1.864358,192.168.59.232,20.42.73.25,TLSv1.2,1345,Application Data
36,2.127173,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=4454 Ack=2634 Win=524800 Len=0
37,2.127343,20.42.73.25,192.168.59.232,TLSv1.2,507,Application Data
38,2.132443,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=2634 Ack=4907 Win=65280 Len=1400 [TCP segment of a reassembled PDU]
39,2.132443,192.168.59.232,20.42.73.25,TLSv1.2,110,Application Data
40,2.132937,192.168.59.232,20.42.73.25,TLSv1.2,1001,Application Data
41,2.235571,fe80::6836:deff:fe8e:4dda,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,ICMPv6,86,Neighbor Solicitation for 2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0 from 6a:36:de:8e:4d:da
42,2.235646,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,fe80::6836:deff:fe8e:4dda,ICMPv6,86,"Neighbor Advertisement 2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0 (sol, ovr) is at 40:5b:d8:01:09:6b"
43,2.379891,162.159.136.234,192.168.59.232,TLSv1.2,274,Application Data
44,2.379891,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=4907 Ack=4090 Win=524800 Len=0
45,2.379891,20.42.73.25,192.168.59.232,TLSv1.2,505,Application Data
46,2.385996,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=5037 Ack=5358 Win=64768 Len=1400 [TCP segment of a reassembled PDU]
47,2.385996,192.168.59.232,20.42.73.25,TLSv1.2,185,Application Data
48,2.386307,192.168.59.232,20.42.73.25,TLSv1.2,824,Application Data
49,2.423393,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=1857 Win=3575 Len=0
50,2.462703,162.159.136.234,192.168.59.232,TLSv1.2,99,Application Data
51,2.503267,192.168.59.232,162.159.136.234,TCP,54,2247  >  443 [ACK] Seq=1 Ack=1902 Win=3575 Len=0
52,2.620807,192.168.59.232,20.42.73.27,TCP,54,"1033  >  443 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
53,2.621064,192.168.59.232,52.114.15.135,TCP,54,"1042  >  443 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
54,2.621687,192.168.59.232,192.168.59.222,DNS,79,Standard query 0x7268 A teams.microsoft.com
55,2.621949,192.168.59.232,192.168.59.222,DNS,79,Standard query 0x4748 AAAA teams.microsoft.com
56,2.632172,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=5358 Ack=6568 Win=524800 Len=0
57,2.637512,20.42.73.25,192.168.59.232,TLSv1.2,505,Application Data
58,2.644241,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=7338 Ack=5809 Win=65792 Len=1400 [TCP segment of a reassembled PDU]
59,2.644241,192.168.59.232,20.42.73.25,TLSv1.2,111,Application Data
60,2.644704,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=8795 Ack=5809 Win=65792 Len=1400 [TCP segment of a reassembled PDU]
61,2.644704,192.168.59.232,20.42.73.25,TLSv1.2,494,Application Data
62,2.839249,192.168.59.222,192.168.59.232,DNS,255,Standard query response 0x7268 A teams.microsoft.com CNAME teams.office.com CNAME teams-mira-afd.trafficmanager.net CNAME teams-office-com.s-0005.s-msedge.net CNAME s-0005.s-msedge.net A 52.113.194.132
63,2.839465,192.168.59.222,192.168.59.232,DNS,267,Standard query response 0x4748 AAAA teams.microsoft.com CNAME teams.office.com CNAME teams-mira-afd.trafficmanager.net CNAME teams-office-com.s-0005.s-msedge.net CNAME s-0005.s-msedge.net AAAA 2620:1ec:42::132
64,2.840422,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,86,1051  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1
65,2.883927,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,86,1055  >  443 [SYN] Seq=0 Win=64800 Len=0 MSS=1440 WS=256 SACK_PERM=1
66,2.89939,20.42.73.25,192.168.59.232,TCP,66,[TCP Dup ACK 57#1] 443  >  1050 [ACK] Seq=5809 Ack=7338 Win=524032 Len=0 SLE=8738 SRE=8795
67,2.89939,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=5809 Ack=8795 Win=524800 Len=0
68,2.905243,52.114.15.135,192.168.59.232,TCP,54,"443  >  1042 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
69,2.907613,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=5809 Ack=10635 Win=524800 Len=0
70,2.908926,20.42.73.25,192.168.59.232,TLSv1.2,505,Application Data
71,2.912624,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=10635 Ack=6260 Win=65280 Len=1400 [TCP segment of a reassembled PDU]
72,2.912624,192.168.59.232,20.42.73.25,TLSv1.2,111,Application Data
73,2.913029,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=12092 Ack=6260 Win=65280 Len=1400 [TCP segment of a reassembled PDU]
74,2.913029,192.168.59.232,20.42.73.25,TLSv1.2,736,Application Data
75,3.04769,20.42.73.27,192.168.59.232,TCP,54,"443  >  1033 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
76,3.097125,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,86,"443  >  1051 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
77,3.097289,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,74,1051  >  443 [ACK] Seq=1 Ack=1 Win=64768 Len=0
78,3.097959,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TLSv1.2,591,Client Hello
79,3.103158,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,86,"443  >  1055 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 WS=256 SACK_PERM=1"
80,3.103247,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,74,1055  >  443 [ACK] Seq=1 Ack=1 Win=64768 Len=0
81,3.103847,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TLSv1.2,591,Client Hello
82,3.150214,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=6260 Ack=12092 Win=524800 Len=0
83,3.157576,20.42.73.25,192.168.59.232,TCP,54,443  >  1050 [ACK] Seq=6260 Ack=14174 Win=524800 Len=0
84,3.161263,20.42.73.25,192.168.59.232,TLSv1.2,504,Application Data
85,3.167179,192.168.59.232,20.42.73.25,TCP,1454,1050  >  443 [ACK] Seq=14174 Ack=6710 Win=64768 Len=1400 [TCP segment of a reassembled PDU]
86,3.167179,192.168.59.232,20.42.73.25,TLSv1.2,110,Application Data
87,3.168193,192.168.59.232,20.42.73.25,TLSv1.2,614,Application Data
88,3.36846,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,74,443  >  1051 [ACK] Seq=1 Ack=518 Win=4193792 Len=0
89,3.36846,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,4274,443  >  1051 [ACK] Seq=1 Ack=518 Win=4193792 Len=4200 [TCP segment of a reassembled PDU]
90,3.368546,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,74,1051  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0
91,3.370104,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,1474,443  >  1051 [ACK] Seq=4201 Ack=518 Win=4193792 Len=1400 [TCP segment of a reassembled PDU]
92,3.370147,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,74,1051  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0
93,3.370312,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TLSv1.2,385,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
94,3.373003,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,74,443  >  1055 [ACK] Seq=1 Ack=518 Win=4193792 Len=0
95,3.374553,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TLSv1.2,232,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
96,3.374823,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TLSv1.2,173,Application Data
97,3.375375,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,1474,1051  >  443 [ACK] Seq=775 Ack=5912 Win=65280 Len=1400 [TCP segment of a reassembled PDU]
98,3.375375,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,1474,1051  >  443 [ACK] Seq=2175 Ack=5912 Win=65280 Len=1400 [TCP segment of a reassembled PDU]
99,3.375375,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,1474,1051  >  443 [ACK] Seq=3575 Ack=5912 Win=65280 Len=1400 [TCP segment of a reassembled PDU]
100,3.375375,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TLSv1.2,934,Application Data
101,3.38755,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,4274,443  >  1055 [ACK] Seq=1 Ack=518 Win=4193792 Len=4200 [TCP segment of a reassembled PDU]
102,3.38765,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,74,1055  >  443 [ACK] Seq=518 Ack=4201 Win=65792 Len=0
103,3.387796,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TCP,1474,443  >  1055 [ACK] Seq=4201 Ack=518 Win=4193792 Len=1400 [TCP segment of a reassembled PDU]
104,3.387818,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2620:1ec:42::132,TCP,74,1055  >  443 [ACK] Seq=518 Ack=5601 Win=65792 Len=0
105,3.390325,2620:1ec:42::132,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,TLSv1.2,421,"Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
